type_equipement,age,duree_vie_prevue,etat,derniere_maintenance,frequence_maintenance,nb_pannes,temps_fonctionnement_total,temps_moyen_reparation,temps_arret_panne,class_equipement
Semoir,8,14,besoin de réparation,2024-02-18 17:50:08.836647,56,32,29680,16,35,B
Tracteur,3,12,bon état,2024-04-24 17:50:08.836666,49,10,11130,12,32,B
Charrue,7,15,bon état,2024-04-29 17:50:08.836672,19,20,25970,3,25,B
Semoir,10,11,besoin de réparation,2024-03-01 17:50:08.836677,44,32,37100,15,2,C
Charrue,12,13,bon état,2024-04-24 17:50:08.836682,30,34,44520,7,16,C
Remorque agricole,9,12,bon état,2024-04-17 17:50:08.836686,49,22,33390,11,13,C
Tondeuse agricole,13,16,besoin de réparation,2024-01-31 17:50:08.836691,51,26,48230,13,46,C
Tondeuse agricole,3,13,besoin de maintenance,2024-03-17 17:50:08.836695,39,8,11130,7,22,B
Charrue,7,12,besoin de réparation,2024-02-05 17:50:08.836699,54,20,25970,17,47,B
Charrue,13,10,bon état,2024-04-27 17:50:08.836703,18,52,48230,13,7,C
Tracteur,4,10,bon état,2024-04-16 17:50:08.836707,19,16,14840,11,31,B
Charrue,4,16,besoin de maintenance,2024-03-19 17:50:08.836711,54,16,14840,6,23,B
Tracteur,9,11,besoin de réparation,2024-01-31 17:50:08.836715,78,29,33390,16,40,C
Semoir,3,13,bon état,2024-04-28 17:50:08.836719,40,11,11130,6,35,B
Tondeuse agricole,3,13,bon état,2024-04-28 17:50:08.836722,17,9,11130,4,34,A
Tondeuse agricole,8,16,besoin de maintenance,2024-03-31 17:50:08.836726,2,32,29680,13,13,B
Charrue,13,14,bon état,2024-04-21 17:50:08.836730,6,37,48230,6,25,C
Moissonneuse,8,15,besoin de maintenance,2024-03-28 17:50:08.836734,31,23,29680,10,40,B
Moissonneuse,12,12,besoin de réparation,2024-02-12 17:50:08.836738,47,34,44520,2,36,C
Semoir,6,13,besoin de maintenance,2024-03-24 17:50:08.836742,62,12,22260,6,33,B
